Sample_Id,Sim_Id,AgeBin,Result
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000011,5f2f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000011,5f2f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000011,5f2f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000011,5f2f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,62.644
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000011,5f2f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000011,5f2f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000011,5f2f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000011,5f2f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000012,602f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000012,602f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000012,602f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000012,602f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,59.86600000000001
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000012,602f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000012,602f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000012,602f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000012,602f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000013,612f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000013,612f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000013,612f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000013,612f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,59.941
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000013,612f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000013,612f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000013,612f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000013,612f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000014,622f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000014,622f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000014,622f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000014,622f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,62.001000000000005
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000014,622f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000014,622f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000014,622f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000014,622f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000015,632f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000015,632f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000015,632f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000015,632f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,62.406000000000006
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000015,632f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000015,632f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000015,632f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000015,632f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000016,642f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000016,642f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000016,642f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000016,642f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,59.152
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000016,642f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000016,642f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000016,642f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000016,642f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000017,652f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000017,652f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000017,652f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000017,652f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,64.619
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000017,652f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000017,652f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000017,652f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000017,652f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000018,662f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000018,662f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000018,662f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000018,662f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,62.486999999999995
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000018,662f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000018,662f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000018,662f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000018,662f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000019,672f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000019,672f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000019,672f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000019,672f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,61.786
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000019,672f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000019,672f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000019,672f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000019,672f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000020,667c002e-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000020,667c002e-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000020,667c002e-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000020,667c002e-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,61.913000000000004
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000020,667c002e-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000020,667c002e-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000020,667c002e-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
